entry,example_sentence
likewise,"I enjoy reading, and likewise, my sister loves to read."
liter,I bought a liter of milk at the grocery store.
lobby,I waited in the lobby for my friend to arrive.
locally,I love to support locally owned businesses.
locker,I put my bag in the locker.
logical,Logical reasoning is an important skill in the field of philosophy.
login,Please enter your username and password to login.
logo,The company redesigned its logo to give it a more modern look.
loudly,She spoke loudly to make sure everyone could hear her.
lounge,I like to relax in the lounge and read a book.
loyal,He is a loyal friend who always stands by your side.
loyalty,Loyalty is a virtue that should be cherished.
luggage,I need to pack my luggage for the trip.
luncheon,I had a delicious luncheon with my colleagues.
lunchtime,I usually have a sandwich at lunchtime.
ma'am,"Excuse me, ma'am. Can you help me find the nearest post office?"
machinery,The factory is equipped with state-of-the-art machinery.
malfunction,The computer malfunctioned and crashed.
mall,I went to the mall to buy some new clothes.
managerial,He has excellent managerial skills.
mandatory,Wearing a mask is mandatory in this building.
manual,I prefer manual labor over using machines.
mask,She wore a mask to protect herself from the dust.
massage,I booked a massage for tomorrow.
maximize,We need to maximize our profits in order to grow the business.
meaningful,Reading books is a meaningful activity.
meantime,"In the meantime, I will finish my work."
mechanic,The mechanic fixed my car.
mechanical,He has a mechanical watch.
media,The media plays a crucial role in shaping public opinion.
medication,I need to take my medication every day.
memo,I wrote a memo to remind myself of the important tasks.
memorandum,I need to write a memorandum for the meeting tomorrow.
memorize,I need to memorize all the vocabulary words for the test.
mentor,My mentor has been guiding me throughout my career.
merchandise,The store offers a wide range of merchandise for sale.
merchant,Marco Polo was an Italian merchant and explorer.
merge,The two companies decided to merge in order to expand their market share.
merger,The merger between the two companies was approved by the shareholders.
merit,One of the merits of studying abroad is the opportunity to learn a new language.
messenger,The messenger left for London in secret.
microphone,I need to buy a new microphone for my podcast.
microscope,I used a microscope to examine the cells.
microwave,I heated up my leftovers in the microwave.
midnight,I stayed up until midnight last night.
mild,She has a mild temperament.
mileage,I have accumulated a high mileage on my car.
mineral,Plants require minerals for their growth.
mini,She wore a mini skirt to the party.
minimize,I try to minimize my expenses by budgeting carefully.
misidentify,It is easy to misidentify birds in the distance.
mislead,He tried to mislead me with false information.
misplace,I always misplace my keys and spend hours searching for them.
mister,"Good morning, mister!"
modem,I need to reset the modem.
modification,The modification of the building was necessary to meet safety regulations.
monument,The Statue of Liberty is a famous monument in New York City.
morale,The team's morale was low after losing the game.
mosquito,I got bitten by a mosquito last night.
motorcycle,I rode my motorcycle to work today.
mower,The mower is in the shed.
nail,I need to trim my nails.
nap,I like to take a nap in the afternoon.
nationwide,The nationwide event attracted thousands of participants.
neat,She keeps her room neat and tidy.
necessity,Education is a necessity for personal growth.
necklace,She wore a beautiful necklace to the party.
needy,We should help the needy.
newsletter,I receive a newsletter every week.
newsstand,I bought a magazine at the newsstand.
noisy,The party next door was so noisy that I couldn't concentrate on my work.
nominate,I nominate John for the position of team leader.
nomination,Her nomination for the award was well-deserved.
noon,I always take a walk at noon.
notify,Please notify me about any updates.
nutrition,Proper nutrition is essential for maintaining good health.
o'clock,I will meet you at o'clock
obligate,The contract will obligate you to fulfill certain responsibilities.
oblige,I am obliged to help my friend move to a new apartment.
obtain,I was able to obtain the information I needed.
occupancy,The occupancy rate of the hotel has been steadily increasing.
occupant,The occupant of the house was not home when the fire broke out.
occupation,My father's occupation is a doctor.
occurrence,The occurrence of the event was unexpected.
officially,The company officially announced its new product.
omit,I accidentally omitted a word from the sentence.
ongoing,The construction work is ongoing.
operational,The operational procedures need to be followed strictly.
opt,I will opt for the vegetarian option.
optimistic,She always has an optimistic outlook on life.
optional,An air conditioner is available as an optional extra.
orchestra,The orchestra performed a beautiful symphony.
organizational,The organizational structure of the company is hierarchical.
organizer,She is the organizer of the event.
orientation,Orientation programs are designed to help new employees adapt to their new work environment.
outage,There was a power outage in the city last night.
outdated,This computer is outdated and needs to be replaced.
outdoor,Rugby is an outdoor game.
outfit,She put on a stylish outfit for the party.
outlet,I couldn't find any available outlets to charge my phone.
outlook,The outlook for the economy is uncertain.
outstanding,She is an outstanding student.
oval,The table had an oval shape.
oven,I baked a cake in the oven.
overcharge,The mechanic overcharged me for the repairs.
overcrowd,The classroom was so overcrowded that some students had to stand.
overdue,The bill is overdue and needs to be paid immediately.
overhead,Be careful of the overhead branches.
overlook,I often overlook small details.
overnight,I stayed overnight at my friend's house.
overpay,Most big companies continue to overpay their top executives.
oversee,"As a team leader, it's my job to oversee the project and make sure everything is [[on track]]."
overtime,He put in ten hours of overtime this week.
overview,"Before we get into the details, let me give you a brief overview of the project."
packet,I received a packet in the mail today.
pad,I always keep a pad of paper and a pen in my bag.
painter,The painter created a beautiful landscape.
pamphlet,I picked up a pamphlet about the museum.
pan,I cooked soup in a pan.
pant,"After running the marathon, he was panting heavily."
paperback,I prefer reading paperback books.
paperwork,I need to finish my paperwork before the deadline.
parade,The parade marched through the streets of the city.
paralegal,She works as a paralegal at a law firm.
paraphrase,Can you paraphrase this sentence for me?
parcel,I received a parcel in the mail today.
partial,He only gave a partial explanation of the situation.
partially,She only partially completed the project.
passport,I need to renew my passport before I can travel.
password,What is the password to access the secret room?
pasta,I love eating pasta for dinner.
pastry,I love to eat pastry for breakfast.
patent,He filed a patent for his invention.
patience,Patience is a virtue.
patron,The artist's work would not have been possible without the support of a generous patron.
payable,The invoice is payable within 30 days.
paycheck,I'm eagerly waiting for my paycheck to arrive so that I can pay my rent and bills.
payroll,I need to submit my payroll information by Friday.
pedestrian,The pedestrian crossed the street at the crosswalk.
penalize,The referee decided to penalize the player for his rough tackle.
pepper,I like to sprinkle pepper on my pizza.
performer,The performer captivated the audience with their incredible talent.
periodical,I subscribe to a periodical that is published monthly.
periodically,I go to the gym periodically to stay in shape.
permanently,He decided to permanently move to another country.
personalize,I like to personalize my belongings by adding my initials to them.
pet,My pet is a small dog.
petition,I signed a petition to save the endangered species.
pharmaceutical,The pharmaceutical industry is rapidly growing.
pharmacist,The pharmacist filled the prescription for the patient.
pharmacy,I need to go to the pharmacy to pick up my prescription.
photocopier,"I need to make copies of this document, so I'll use the photocopier."
photocopy,I need to photocopy some documents for the meeting.
photographer,The photographer captured the beautiful sunset.
photography,Photography is a form of art that captures moments and tells stories.
physician,The physician examined the patient thoroughly.
physics,I studied physics in college.
picnic,We had a picnic in the park.
pie,I love eating pie.
pill,I take a pill every morning.
pillow,I like to sleep with a soft pillow.
pizza,I love to eat pizza
placement,The placement of the furniture in the room is important for creating a comfortable space.
planner,I am a planner at a design firm.
plausible,His explanation sounded plausible.
plow,The farmer used a plow to till the soil.
plug,I need to replace the sparking plug in my car.
plumber,I need to call a plumber to fix my leaky faucet.
pole,I saw a bird perched on top of the pole.
pole,
polish,I need to polish my shoes before the party.
polite,He always speaks in a polite manner.
pollute,Burning fossil fuels pollute the air.
poorly,He performed poorly in the exam.
popcorn,I love eating popcorn while watching movies.
popularity,The new movie is gaining popularity among audiences.
portable,This portable speaker is easy to carry around.
portfolio,I am currently working on updating my portfolio.
postage,The postage for this package is $10.
postal,I need to go to the postal office to send this package.
postcard,I sent a postcard to my friend while on vacation.
poster,I have a poster of my favorite band in my room.
postpone,I need to postpone our meeting until next week.
pottery,She learned pottery from a master craftsman.
precede,I always precede my sister in line.
prediction,The weather prediction for tomorrow is rain.
preliminary,She conducted a preliminary study before starting her research.
premium,I got a premium for subscribing to the magazine.
prescribe,Doctors prescribe medication to treat various illnesses.
prescription,I need to get a prescription for my medication.
presenter,The presenter of the TV show is very charismatic.
prestigious,He graduated from a prestigious university.
preview,I will give you a preview of the new movie.
probable,It is probable that it will rain tomorrow.
productive,She is a very productive worker.
productivity,Increasing productivity is essential for the success of any business.
professionally,She handles every situation professionally.
proficiency,She has a high level of proficiency in English.
profitable,Investing in stocks can be profitable if done wisely.
programmer,The programmer is working on a new software project.
prohibit,Smoking is prohibited in this area.
projection,The projection on the wall was clear and vivid.
projector,The projector is set up in the conference room.
prominent,The prominent building stood out among the others.
promotional,He made a promotional video for his business.
promptly,He responded promptly to my email.
proofread,Can you proofread my essay for me?
prospective,She has a prospective job offer.
protective,Wearing a helmet is important for protective purposes.
provider,The provider of the service was very helpful.
publicity,The company used social media for publicity.
publicize,The company hired a marketing agency to publicize their new product.
publish,The author plans to publish a new book next month.
punctual,He is always punctual for meetings.
purchaser,The purchaser bought a new car.
purse,She carried a small purse with her.
purser,The purser is responsible for managing the financial transactions on board the ship.
puzzle,His behavior puzzled me.
quarterly,The company releases its financial reports quarterly.
query,I have a query about the new product.
questionnaire,Please fill out the questionnaire.
quit,I decided to quit my job.
rack,I need to buy a new rack for my kitchen.
railway,I take the railway to work every day.
raincoat,I always carry a raincoat with me when it's raining.
rainfall,The heavy rainfall caused flooding in the city.
rainy,"The sky was a gloomy, rainy day."
ray,The sun's rays warmed my face.
realistic,He has a realistic view of life.
realtor,I contacted a realtor to help me find a new house.
rearrange,I need to rearrange my schedule for next week.
reassure,I reassured my friend that everything would be okay.
rebate,I received a rebate on my purchase.
receipt,I need a receipt for this purchase.
reception,I went to the reception to check in.
receptionist,The receptionist greeted the guests with a warm smile.
recession,The country is experiencing a severe recession.
recipe,I found a great recipe for chocolate chip cookies.
recipient,The recipient of the award was overwhelmed with joy.
reconsider,I think we should reconsider our decision.
recreation,I enjoy outdoor recreation activities such as hiking and camping.
recreational,I enjoy recreational activities such as hiking and playing sports.
recruiter,The recruiter interviewed several candidates for the job.
recruitment,Our company is currently recruiting new employees.
recur,The same issue seems to recur every month.
recycle,I always recycle my plastic bottles.
redecorate,I am planning to redecorate my living room next month.
redesign,The company decided to redesign their website to improve user experience.
referee,The referee blew the whistle to start the game.
referral,I received a referral from my friend for a great restaurant.
refinery,The new refinery in the outskirts of town has created many job opportunities for the locals.
reflexive,She saw herself in the mirror.
refresh,A cup of coffee in the morning can refresh you.
refreshment,I need some refreshment after a long day at work.
refrigerator,I need to buy a new refrigerator for my kitchen.
refund,I would like to request a refund for this product.
refundable,The hotel reservation is refundable if canceled 24 hours in advance.
rehearsal,We had a rehearsal for the play last night.
rehearse,They rehearse the play before the performance.
reimburse,The company will reimburse you for any expenses incurred during the business trip.
reimbursement,I submitted the receipts for reimbursement.
reinforce,Regular exercise can help reinforce your immune system.
relaxation,Yoga is a great way to promote relaxation.
reliability,Reliability is an important factor when choosing a car.
relieve,The doctor prescribed medication to relieve the pain.
relocate,We decided to relocate our office to a larger space.
relocation,I am considering relocation to a different city for better job opportunities.
reluctant,She was reluctant to join the party.
remainder,"I have finished my work, but there is still a remainder of tasks to be completed."
reminder,I set a reminder on my phone to remember to buy groceries.
remodel,I am planning to remodel my kitchen next month.
removal,The removal of the old furniture was a difficult task.
renew,I need to renew my passport before it expires.
renewal,The company is planning a renewal of its website.
renovate,They decided to renovate their house before selling it.
renovation,The renovation of the house took longer than expected.
renown,He gained renown for his exceptional talent.
rental,I need to return my rental car by tomorrow.
renter,The renter signed a lease agreement for the apartment.
reopen,I will reopen the store tomorrow.
repairperson,I asked the repairman for an estimate to fix my television.
repeatedly,He repeatedly asked her to go out with him.
repetition,Repetition is the key to success.
replacement,I need a replacement for my broken phone.
reproduce,Scientists are trying to reproduce the experiment to confirm the results.
reschedule,I need to reschedule our meeting for next week.
resemble,They resemble each other in appearance.
reservation,I made a reservation at the hotel for next week.
residence,I recently moved to a new residence.
residential,I live in a residential area.
resignation,She submitted her resignation letter yesterday.
respondent,The respondent answered all of the survey questions accurately.
restatement,Her recent speech was merely a restatement of her widely publicized views.
restroom,"Excuse me, where is the restroom?"
resume,I need to update my resume before applying for the job.
resume,We�fll resume the meeting at 10:30 tomorrow.
retailer,She works as a retailer in a clothing store.
retreat,They had no alternative but to retreat.
retrieve,The police managed to retrieve the stolen goods.
reunion,I am looking forward to our reunion next month.
reviewer,The reviewer praised the new book for its compelling storyline.
revision,I need to do a revision of my essay before submitting it.
revolutionize,This new technology has the potential to revolutionize the way we communicate.
rewrite,I need to rewrite this paragraph.
rider,The rider gracefully mounted the horse.
rose,I bought a rose for her.
rubber,I need to buy a new rubber for my pencil.
rug,I bought a new rug for my living room.
rumor,There is a rumor going around that she is quitting her job.
runner,The runner crossed the finish line with a new personal record.
safely,He drove safely to his destination.
salad,I ate a salad for lunch.
salesman,The salesman was very knowledgeable and helpful.
salespeople,Salespeople play a crucial role in driving revenue for the company.
salesperson,The salesperson helped me choose the perfect dress.
salon,I'm going to the salon to get a haircut.
sandwich,I love to eat sandwich for lunch.
satellite,The satellite orbits around the main planet.
satisfactory,The service at the restaurant was satisfactory.
sauna,I love going to the sauna after a workout.
scarf,She wrapped a scarf around her neck to keep warm.
scenery,The scenery in this area is breathtaking.
scholarship,I received a scholarship to study abroad.
sculpture,The sculpture in the park is breathtaking.
seafood,"I love eating seafood, especially fish and shellfish."
seaside,I love spending my vacations at the seaside.
seasonal,I love the seasonal changes in nature.
sedan,I drove a sedan to work today.
seeker,She is a seeker of truth.
seldom,I seldom go to the movies.
seller,The seller offered a discount on the product.
semester,I am excited for the new semester to begin.
seminar,I joined a seminar to conduct research under the guidance of my professor.
sender,The sender of the package forgot to include a return address.
separately,They decided to go separately to the party.
serial,I love reading serial novels.
sew,She loves to sew her own clothes.
sewer,The sewer system in the city is in need of repair.
sewer,The sewer system in the city is in need of repair.
sharply,She turned sharply to avoid the oncoming car.
shipment,The shipment arrived at the port on time.
shopper,The shopper bought a new dress.
shortage,There is a shortage of water in the desert.
shorten,I need to shorten this essay.
shortly,The train will arrive shortly.
showroom,I visited the showroom to see the new collection.
shuttle,I took the shuttle to the airport.
sidewalk,I saw a cat walking on the sidewalk.
sightsee,I love to sightsee and explore new places.
signature,He signed the document with his autographic signature.
signify,The ringing of the bell will signify the start of the ceremony.
silently,"She sat silently in the corner, lost in her own thoughts."
similarity,There is some similarity in the way they sing.
simplify,We need to simplify the process.
sincerely,I sincerely apologize for the mistake.
skate,I love to skate at the ice rink.
skateboard,I love riding my skateboard at the skate park.
sketch,I like to sketch landscapes in my free time.
skim,I like to skim through books to get a general idea of the content.
sleepy,I feel sleepy after staying up late last night.
sleeve,She rolled up her sleeves and got to work.
slot,I found a coin in the slot.
smoothly,The car glided smoothly down the road.
snack,I like to have a snack between meals.
snowy,The moon was shining in the snowy night.
soap,I washed my hands with soap.
soar,The eagle soared high in the sky.
soccer,I like to play soccer.
sock,I need to buy a new pair of socks.
sofa,I love to relax on the comfortable sofa in my living room.
solar,Solar energy is a renewable source of power.
someday,"Someday, I want to travel around the world."
sometime,I will meet with my friend sometime next week.
soup,I would like to have a bowl of soup.
spa,I love going to the spa to relax and unwind.
spacious,The living room in my new apartment is spacious.
spam,I received a lot of spam emails today.
specially,I made this cake specially for you.
specialty,Her specialty is baking delicious cakes.
specification,The specification of the product is provided in the user manual.
spectator,The spectator watched the game with excitement.
spill,Be careful not to spill your drink.
spite,"She couldn't understand why he would resort to such spite, sabotaging her project just because she wouldn't go out with him."
spokesperson,The spokesperson for the company made a statement regarding the recent controversy.
spouse,My spouse and I went on a vacation to Hawaii.
spray,By means of a super high-pressure water spray practically all the sediment is removed.
spreadsheet,I use a spreadsheet to organize my expenses.
stack,I saw a stack of hay in the field.
stadium,The football match will be held at the stadium.
staple,Rice is a staple food in many Asian countries.
staple,Rice is a staple food in many Asian countries.
stapler,I need to buy a new stapler for my office.
stationery,I bought some new stationery for school.
statistics,Statistics is an important field of study.
statue,The statue of liberty is a famous landmark in New York.
steadily,She is steadily improving her skills.
steak,I ordered a juicy steak for dinner.
steer,He tried to steer the conversation away from controversial topics.
stereo,I bought a new stereo for my living room.
sticker,I put a sticker on my laptop.
stimulus,The loud music was a stimulus for the crowd to start dancing.
stockbroker,I hired a stockbroker to manage my investments.
stockholder,The stockholder meeting will be held next week.
storeroom,I need to organize the storeroom.
strategic,The company's strategic plan focused on expanding their market share by launching new products and acquiring smaller competitors.
streamline,The new software will streamline our workflow and increase efficiency.
strictly,He follows a strictly vegetarian diet.
stripe,The national flag of the USA is called the Stars and Stripes.
submission,"After weeks of hard work, Sarah finally completed her project and sent it for submission to her supervisor."
subscribe,I subscribe to several magazines.
subscriber,The subscriber canceled their subscription.
subscription,I need to renew my subscription to the magazine.
subsidize,The government decided to subsidize the new renewable energy project.
substantially,The company has grown substantially in the last few years.
subtract,"To solve this math problem, you need to subtract the second number from the first number."
suburb,I live in a quiet suburb.
subway,I took the subway to work.
sue,Sue decided to sue the company for wrongful termination.
suitcase,I packed my clothes in a suitcase for the trip.
suite,I booked a suite at the hotel for our anniversary.
sunny,The sunny day made everyone happy.
sunscreen,Don't forget to apply sunscreen before going outside.
sunshine,The skies were full of sunshine.
superb,The performance was superb.
superior,She is a superior athlete.
supermarket,I went to the supermarket to buy some food.
supervise,I supervise a team of workers.
supervisor,The supervisor is responsible for overseeing the team's work.
surf,I love to surf in the ocean.
suspicious,He gave me a suspicious look.
sweater,I bought a new sweater yesterday.
tablecloth,The tablecloth adds a touch of elegance to the dining table.
tablet,I use my tablet to read books and watch movies.
tactic,He used a clever tactic to win the game.
tag,We used to play games like tag.
tag,I always tag my photos on social media.
tailor,I went to the tailor to get my pants altered.
takeover,The company announced a takeover of its competitor.
taker,risk taker
tasty,This dish is so tasty!
tech,I work in the tech industry.
technician,The technician fixed the broken machine.
teen,She is a talented teen singer.
telecommunication,Telecommunication plays a crucial role in connecting people around the world.
teller,The bank teller helped me withdraw money from my account.
temporarily,I will temporarily stay at my friend's house until I find a new apartment.
tempt,The sunshine tempted people out.
tenant,The landlord is looking for a new tenant for the apartment.
terminal,"Her illness, diagnosed as a rare and terminal form of leukemia, left her with only months to live."
terminate,I will terminate the contract with the supplier.
termination,The termination of the project was announced yesterday.
terrific,The fireworks display was terrific!
textbook,I forgot to bring my textbook to class.
theft,The theft of the valuable painting shocked the art community.
thirsty,I'm thirsty. Can I have some water?
thorough,He conducted a thorough investigation into the matter.
thoroughly,She thoroughly cleaned the house before the guests arrived.
thrill,The roller coaster ride was full of thrill and excitement.
thunderstorm,I was scared when the thunderstorm hit last night.
tidy,She always keeps her room tidy.
tile,I need to buy some new tiles for my bathroom.
timeline,I need to create a timeline for the project.
timely,The timely arrival of the ambulance saved his life.
timer,I set the timer for 10 minutes.
timetable,I need to check the timetable for the train.
toiletry,I packed my toiletries for the trip.
toll,The passing bell tolled solemnly as the funeral procession made its way to the church.
toll,The toll for using the highway was surprisingly high.
tomato,I bought a tomato at the store.
ton,The cargo ship can carry up to 10 tons of goods.
toner,I need to buy a new toner for my printer.
tow,I need a tow truck to move my car.
towel,Can you pass me the towel please?
trademark,The company registered their trademark to protect their brand identity.
traditionally,The festival is traditionally held every year.
trainee,The trainee is learning new skills at the company.
trainer,The trainer helped me improve my fitness level.
transaction,The transaction was completed successfully.
transit,I prefer to use public transit instead of driving.
translation,Translation is the process of converting text from one language to another.
translator,The translator did an excellent job translating the document.
transmission,The transmission of information through the internet is fast and efficient.
transmit,The radio waves transmit information from one device to another.
trash,Please take out the trash.
traveler,The traveler explored the ancient ruins.
tray,She placed the tea cups on the tray.
tremendous,The storm caused tremendous damage to the city.
tropical,I love exploring tropical destinations.
tuition,The tuition for this university is quite expensive.
tuna,I love eating tuna sushi.
tunnel,The train passed through a long tunnel.
turnover,The company's turnover increased by 10% last year.
umbrella,I took my umbrella with me to keep dry.
unattended,The unattended child wandered off in the park.
unauthorized,The unauthorized access to the system was detected and blocked.
unavailable,The product is currently unavailable.
uncomfortable,The chair was so uncomfortable that I couldn't sit for long.
underground,The subway is an underground transportation system.
underline,I used an underline to emphasize an important word in my essay.
underway,The construction of the new building is underway.
unemployed,He has been unemployed for six months.
unexpected,I received an unexpected gift from my friend.
unfamiliar,I am unfamiliar with this place.
unhappy,She felt unhappy after receiving the bad news.
unlimited,The possibilities are unlimited.
unload,The workers unload the cargo from the truck.
unnecessary,Using unnecessary force will only cause more harm.
unpaid,He has several unpaid bills.
unpleasant,The weather today is very unpleasant.
unplug,Don't forget to unplug the appliances before leaving the house.
unreal,She felt like she was living in an unreal world.
unreliable,He is an unreliable person.
unspecified,The future is an unspecified and uncertain journey.
unsure,I feel unsure about my decision.
unused,The old computer is unused and collecting dust in the corner.
unusually,She was unusually quiet today.
upcoming,I am excited about the upcoming concert.
upgrade,I need to upgrade my computer to improve its performance.
upstairs,I went upstairs to get my book.
urgent,This is an urgent matter that needs immediate attention.
urgently,I need your help urgently.
usage,I need help with the usage of this software.
utility,The utility company provides electricity and water to the residents.
vacancy,There is a vacancy in the apartment building.
vacant,There is a vacant seat in the theater.
vacate,The tenant has to vacate the apartment by the end of the month.
vacation,I'm planning to go on vacation to Hawaii.
vacuum,I need to vacuum the living room before guests arrive.
valid,The argument presented in the paper is valid.
validate,It brings into question the validity of Nick Bostrom's Orthogonality Thesis
vanilla,I love the taste of vanilla ice cream.
vase,The vase was filled with beautiful flowers.
vegetarian,I am a vegetarian and I don't eat fish or meat for moral or health reasons.
vend,I need to vend some snacks at the event.
vendor,The vendor sells small items at the market.
venue,The venue for the concert is a large stadium.
verbal,She has excellent verbal skills.
verify,I'm verifying the information to make sure it's accurate.
videoconference,I had a videoconference with my colleagues from different countries.
violate,He was arrested for violating the law.
violation,He was charged with a violation of the law.
violin,She plays the violin beautifully.
visa,I need to apply for a visa to visit Japan.
vitamin,I take a vitamin supplement every morning.
volleyball,I played volleyball with my friends today.
voucher,I received a voucher for a free meal at the restaurant.
waiter,The diner had an efficient waiter.
waitress,The waitress served us the drinks.
waive,The bank manager waived the charge
walkway,The walkway leads from the entrance to the street.
wallet,I always keep my money and cards in my wallet.
ward,I live in the ward.
warehouse,The goods were stored in the warehouse.
warranty,The warranty on this product is valid for one year.
webpage,I created a webpage for my business.
website,I found a great website for learning languages.
weekday,I have a lot of work to do on weekdays.
wellness,I'm focusing on my wellness in order to stay healthy.
whale,The whale is the largest mammal in the ocean.
wheelchair,She uses a wheelchair to get around.
whoever,Whoever wants to join the club can sign up at the front desk.
wildlife,I love exploring the wilderness and observing wildlife.
willingness,Her willingness to help others is truly inspiring.
windy,It's very windy today.
wireless,I love using wireless headphones while working out.
wisely,He wisely invested his money in stocks.
withdrawal,The country announced a complete withdrawal of its troops from the region.
wool,I bought a cozy sweater made of wool.
workbook,I need to buy a new workbook for my language class.
workforce,The company is investing in training programs to develop a skilled workforce.
workplace,I have a meeting at the workplace tomorrow.
workshop,My father spends most of his time in his workshop.
worldwide,The movie became a worldwide sensation.
worthwhile,Visiting the Louvre Museum is a worthwhile experience.
wrinkle,She uses a special cream to reduce the appearance of wrinkles.
wristwatch,I always wear a wristwatch to keep track of time.
yearly,I go on a yearly vacation with my family.
yen,I exchanged my dollars for yen at the bank.
yoga,I practice yoga every morning to relax my mind and body.
zoo,I visited the zoo yesterday and saw many different animals.
