word,translation,tag
discover,"vt. 发现, 找到, 暴露\nvi. 发现",zk gk cet4 cet6 ky
discrepancy,"n. 不符合, 差异, 不相符之处\n[化] 不符值; 偏差值",cet6 ky ielts gre
discuss,"vt. 讨论, 论述\n[医] 讨论, 辩论",zk gk
discussion,n. 讨论,zk gk cet4 cet6 ielts
disease,"n. 疾病, 弊病\n[医] [疾]病",zk gk cet4 cet6 ky ielts
disgust,"n. 厌恶, 嫌恶\nvi. 令人厌恶\nvt. 使作呕",cet4 cet6 ky toefl ielts gre
dishwasher,"n. 洗碗机, 洗碗工",
dislike,"n. 嫌恶\nvt. 讨厌, 不喜欢",gk cet4 cet6 ky
dispatch,"vt. 派遣\nn. 派遣, 急件\n[计] 调度",cet6 toefl ielts gre
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置\n[医] 处理, 处置",cet4 cet6 ky toefl ielts gre
dispose,"vt. 处理, 排列, 布置\nvi. 处置",cet4 cet6 ky toefl ielts gre
disrupt,"a. 分裂的, 中断的\nvt. 使分裂, 使瓦解",cet6 ky toefl ielts gre
disruption,"n. 分裂, 崩溃, 瓦解",
dissatisfy,"vt. 使感觉不满, 不满足",cet4 cet6
distract,"vt. 转移, 分心, 使发狂",cet6 ky toefl ielts gre
distraction,"n. 娱乐, 分心的事物, 分心\n[医] 注意力分散, 内脱位, 牙弓过宽",ielts
distribution,n. 分配\n[计] 分布,cet4 cet6 toefl ielts
distributor,"n. 分发者, 分布者, 散布者, 分配者, 销售者, 分配器, 配电盘, 自动拆版机\n[计] 分配器",
dive,"n. 潜水, 跳水\nvi. 跳水, 俯冲, 猛冲\nvt. 把...突然伸入",gk cet4 cet6 ky toefl
dividend,"n. 被除数, 股利\n[计] 被除数",ky ielts
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分\nvt. 使靠码头, 使(船)进港, 剪短\nvi. 进港",cet4 cet6 ky ielts gre
doctor,"n. 医生, 博士\nvt. 授以博士学位, 诊断, 修改\nvi. 行医",zk gk ielts
document,"n. 文件, 公文, 文档\nvt. 证明, 为...引证\n[计] 文档",gk cet4 cet6 ky toefl gre
documentary,n. 记录片\na. 文件的,cet6 ky toefl
documentation,"n. (总称)文件\n[计] 文件编制, 文档",toefl
dog,"n. 狗, 坏蛋\nvt. 跟踪, 尾随",zk gk
dollar,"n. 美元, 元(加、澳等国货币单位)\n[经] 纯经济的, 美元, 元",zk gk
donate,v. 捐赠,cet6 ky toefl ielts gre
donation,"n. 捐赠物, 捐款, 捐赠\n[经] 赠品, 捐款, 捐赠",toefl ielts
donut,"[医] 电子回旋加速器环状真空室, 同步加速器环状真空室",
doorman,n. 看门人,
dose,"n. 剂量, 服用量\nvt. 给药, (用药)医治\nvi. 服药",cet4 cet6 ky ielts gre
doubt,"n. 怀疑, 疑惑\nv. 怀疑, 不信",zk gk cet4 cet6 ky toefl
download,"[计] 卸载, 下栽",gk
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数,
downstairs,n. 楼下\na. 楼下的\nadv. 在楼下,zk gk cet4 ky
downtown,n. 市中心区\na. 市中心的\nadv. 往闹市区,gk ky toefl ielts
downturn,"n. (尤指经济方面的)衰退, 下降趋势\n[电] 低迷时期",cet6
drastically,"adv. 激烈地, 彻底地",
draw,"vi. 拉, 拖, 拔剑\nvt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引\nn. 拉, 拖, 拔出, 抽签, 平局\n[计] 翻牌, 绘图",zk gk toefl
drawback,"n. 缺点, 退税\n[法] 退款, 退税",gk cet6 ky toefl ielts
drawer,"n. 抽屉, 开票人\n[计] 抽屉",zk gk cet4 cet6 ky toefl ielts
dream,"n. 梦, 空想, 愿望\nv. 做梦, 想象, 梦想",zk gk cet4 cet6 ky
dress,"n. 服装, 覆盖物\nvi. 穿着\nvt. 给...穿衣, 整理",zk gk ielts
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布\nv. 训练, 钻孔",gk cet4 cet6 ky toefl ielts gre
drink,"n. 饮料, 酒\nv. 喝, 喝酒",zk gk
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器\nvt. 开车, 驱使, 推动, 驾驶\nvi. 开车, 猛击, 飞跑\n[计] 驱动器",zk gk
drop,"n. 滴, 微量, 落下, 空投\nvi. 放下, 掉下, 下降\nvt. 使滴下, 放下, 丢失, 遗漏\n[计] 投入, 投入点, 接入点, 分接点",zk gk cet4 cet6 ky ielts
drought,"n. 干旱, 缺乏",cet4 cet6 ky toefl ielts gre
drug,"n. 药, 麻药, 麻醉药\nvi. 吸毒\nvt. 使服麻醉药, 使麻木",zk gk cet4 cet6 ky
drum,"n. 鼓, 鼓声\nvi. 击鼓, 作鼓声\nvt. 打鼓奏出\n[计] 磁鼓",zk gk cet4 cet6 ky
due,"n. 应得的东西, 应付款\na. 到期的, 应得的, 应付的, 约定的",gk cet4 cet6 ky toefl ielts
dull,"a. 钝的, 无趣的, 呆滞的, 阴暗的\nvt. 使迟钝, 使阴暗, 缓和\nvi. 变迟钝, 减少",gk cet4 cet6 ky toefl ielts gre
duplicate,"n. 副本, 复本, 复制品\na. 复制的, 二重的\nvt. 复制, 使加倍\n[计] 复制",cet6 ky toefl ielts
durable,"a. 持久的, 耐用的",cet4 cet6 ky toefl ielts
duration,"n. 持续时间, 持续\n[计] 持续时间",cet4 cet6 ky toefl ielts gre
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的\nn. 动力, 动态\n[计] 动态的",gk cet4 cet6 ky toefl ielts gre
eager,"a. 热心的, 渴望的, 热望的",gk cet4 cet6 ky toefl
earn,"vt. 赚得, 获得, 博得\n[计] 欧州科学研究网",gk cet4 ky
earthquake,n. 地震,gk cet4 cet6 ky toefl
easily,"adv. 容易地, 轻易地, 流利地",gk cet4
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的\nadv. 容易地, 慢慢地",zk gk
eat,"v. 吃, 腐蚀",zk gk
economic,"a. 经济上的, 实用的, 节省的\n[经] 经济的",cet4 cet6 ky toefl ielts
economical,"a. 节俭的, 经济的, 合算的\n[经] 经济的, 节约的",cet4 cet6 ky toefl ielts gre
economically,"adv. 节约地, 不浪费地, 节省地, 节俭地, 在经济上, 在经济学上",cet6
economist,"n. 经济学者, 经济家\n[经] 经济学家",
economize,"v. 节约, 节省, 有效地利用",toefl
economy,"n. 经济, 理财, 节约\n[医] 经济, 整体",cet4 cet6 ky ielts
editorial,"n. 社论, 评论\na. 编辑的, 主笔的, 社论的",cet4 cet6 ky ielts
education,"n. 教育, 训练, 教育学\n[医] 教育, 训练",zk gk cet4 ky toefl ielts
effect,"n. 结果, 影响, 效果, 印象\nvt. 实行, 引起, 完成\n[计] 效果",gk cet4 cet6 ky toefl ielts
effectiveness,"n. 效力\n[经] 有效性, 能行性",toefl
efficiently,"adv. 生效, 能胜任, 有能力, 效率高, 有效",
effort,"n. 努力, 成就",zk gk cet4 cet6 ky
either,"a. (两者之中)任一的, (两者之中)各一的\npron. (两者之中)任一\nconj. 或, 要么",zk gk
election,"n. 选举, 当选, 选择权\n[法] 选举, 当选",cet4 cet6 toefl
electrical,"a. 电的, 有关电的\n[医] 电的",gk cet4 cet6 ky ielts
electrician,"n. 电学家, 电气技师, 电工\n[化] 电工; 电气工人",cet6 ky ielts
electronically,adv. 电子地,
elegant,"a. 优雅的, 端庄的, 高雅的",gk cet6 ky toefl ielts
elephant,n. 象,zk gk cet4 cet6 ky
elevate,"vt. 举起, 提拔, 鼓舞",cet6 ky toefl ielts gre
elevator,"n. 电梯, 升降机\n[化] 提升机",cet4 cet6 ky toefl ielts
eligible,"a. 有资格当选的, 合格的\nn. 有资格者, 合格者, 适任者",cet6 ky toefl ielts gre
else,"a. 别的, 其他的\nadv. 另外, 否则, 不然",zk gk
embassy,"n. 大使馆, 大使馆全体人员\n[经] 大使馆",gk cet6 ky ielts
embed,"vt. 使插入, 使嵌入, 使深留脑中\n[计] 嵌入",ky toefl ielts gre
employee,"n. 职员, 员工, 受雇人员\n[化] 职工; 雇员",cet4 cet6 ky toefl ielts
enclose,"vt. 围绕, 圈起, 放入封套, 附上",cet4 cet6 ky toefl ielts
encourage,"vt. 鼓励, 支持, 激励\n[法] 怂恿, 煽动, 助长",zk gk cet4 cet6 ky toefl
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余\nv. 结束, 终结, 终止\n[计] 端; 结束",zk gk ielts
energetic,"a. 精力充沛的, 积极的",gk cet6 ky toefl ielts
energy,"n. 精力, 精神, 活力, 能量\n[化] 能; 能量",zk cet4 cet6 ky ielts
engagement,"n. 诺言, 约会, 婚约, 交战\n[医] 衔接",cet6 ky ielts
enjoy,"vt. 享受, 喜欢, 欣赏\n[法] 享受, 享有, 获得某种利益",zk gk
enjoyable,"a. 可从中得到乐趣的, 令人愉快的",gk
enough,"n. 充足, 够, 很多\na. 充足的, 足够\nadv. 足够\ninterj. 够了",zk gk
enroll,"vt. 登记, 使加入\nvi. 参军, 注册",cet4 cet6 ky toefl ielts
enrollment,"n. 登记, 注册, 入伍\n[经] 登记, 注册",ielts
enter,"vt. 进入, 参加, 开始, 输入, 回车\nvi. 进去, 参加\n[计] 输入, 回车",zk gk cet4 ky
enthusiasm,"n. 巨大的热情, 热心",cet4 cet6 ky toefl ielts
enthusiast,"n. 热心家, 狂热者, 爱好者",
enthusiastic,"a. 狂热的, 热心的, 热烈的",gk cet4 cet6 ky ielts
enthusiastically,"adv. 热心地, 狂热地",toefl
entrepreneur,"n. 企业家, 主办人\n[经] 承包商, 企业家",cet6 ky toefl ielts gre
environment,"n. 环境, 外界, 围绕\n[计] 环境",zk gk cet4 cet6 ky ielts
environmentally,adv. 有关环境方面,
equip,"vt. 装备, 配备\n[机] 设备, 装置",gk cet4 cet6 ky toefl
erase,"vt. 抹去, 擦掉\n[计] 清洗; 擦除; 抹除; DOS内部命令:从磁盘上删除一个或多个文件",ky toefl ielts gre
escalator,"n. 电动扶梯, 自动扶梯\n[机] 升降阶梯",toefl ielts
escort,"n. 护送者, 护卫者, 护航舰\nvt. 护卫, 护送",cet6 ky toefl ielts gre
especially,"adv. 尤其, 特别, 格外",zk gk cet4 cet6 ky
establish,"vt. 建立, 确立, 制定\nvi. 移植生长",cet4 cet6 ky ielts
estimate,"n. 估计, 判断\nvt. 估计, 评价, 判断\nvi. 估计",cet4 cet6 ky toefl ielts
ethics,n. 道德规范\n[医] 伦理学,cet6 toefl gre
euro,n. 欧元（欧盟的统一货币单位）,
evacuate,"v. 疏散, 撤出, 排泄",cet4 cet6 ky toefl ielts gre
evening,"n. 傍晚, 晚间, 末期",zk gk ielts
evenly,"adv. 平衡地, 平坦地, 平等地",cet6 toefl
event,"n. 事件, 结果, 事情的进程, 竞赛项目\n[计] 事件",gk cet4 ky ielts
everybody,"pron. 每个人, 人人",zk gk
everyone,"pron. 每个人, 人人\n[计] 系统中的一个组名",zk gk
everything,"pron. 每件事物, 所有事物",zk gk
evidence,"n. 根据, 证据, 迹象\n[经] 证据, 凭证",gk cet4 cet6 ky toefl ielts
evident,"a. 显然的, 明显的",gk cet4 cet6 ky toefl
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此",gk cet4
example,"n. 例子, 样本, 实例\n[化] 实例",zk gk ielts
excellence,"n. 优秀, 卓越, 优点",
except,"vt. 除, 除外\nvi. 反对\nprep. 除了...之外, 若不是, 除非\nconj. 只是",zk gk
exceptional,"a. 例外的, 异常的, 特别的",cet6 ky toefl ielts gre
excessive,"a. 过度的, 过多的, 极端的\n[法] 过度的, 过分的, 额外的",cet4 cet6 ky toefl
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所\nv. 交换, 交易, 兑换\n[计] 交换; 电话局",gk cet4 cet6 ky toefl ielts
exclusive,"a. 排外的, 独占的, 唯一的\n[计] 独占的",cet4 cet6 ky toefl ielts gre
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地",cet4 cet6 toefl ielts
excursion,"n. 远足, 游览圆, 短程旅行\n[医] 移动, 离轨, 逸出",cet4 cet6 ky toefl ielts gre
exemption,"n. 解除, 免除, 免税\n[化] 免检",toefl
exercise,"n. 行使, 执行, 运动, 练习, 作业\nvt. 运用, 练习, 运动\nvi. 练习, 锻炼",zk gk ielts
exist,"vi. 存在, 生存, 发生",gk cet4 cet6 ky toefl
exit,"n. 出口, 退场, 离去, 去世\nvi. 退出, 脱离, 去世\n[计] 退出; DOS内部命令:本命令用于退出当前的命令处理器(COMMAND.COM)\n恢复前一个命令处理器",gk cet4 cet6 ky toefl
exotic,"a. 异国的, 外来的\nn. 外来人, 外来物, 舶来品",cet6 ky toefl ielts gre
expect,"vt. 预期, 盼望, 期待",zk gk
expedite,"vt. 加快, 促进, 发出\na. 畅通的, 无阻碍的, 迅速的, 方便的",toefl
experience,"n. 经历, 经验, 体验\nvt. 经历, 经验, 体验",zk gk cet4 cet6 ky ielts
expertise,"n. 专家意见, 专门技术\n[法] 专门知识, 专家意见",cet6 ky toefl ielts gre
expiration,"n. 终止, 满期, 呼出, 呼气\n[医] 呼[气], 断气, 死亡",gre
expire,"vi. 期满, 呼气, 断气\nvt. 呼出",cet6 ky toefl ielts gre
explain,"v. 解释, 说明",zk gk cet4 cet6 ky
explanatory,"a. 说明的, 解释的, 辩明的\n[法] 解释的, 说明的",
explorer,"n. 探险家, 探测者, 勘探器\n[医] 探察器",gk toefl
express,"n. 快车, 快递, 专使\na. 明确的, 丝毫不差的, 专门的, 快的\nvt. 表达, 表示, 表露",zk gk cet4 cet6 ky
extend,"v. 扩充, 延伸, 伸展, 扩大\n[计] 扩展",cet4 cet6 ky toefl ielts gre
extinguisher,"n. 熄灭者, 灭火器, 消灭者\n[化] 灭火器; 灭火剂",
eye,"n. 眼睛, 视力, 看\nvt. 看, 注视",zk gk ielts
fabric,"n. 织物, 布, 结构, 构造, 建筑物\n[经] 组织, 建筑物, 工厂",cet4 cet6 ky toefl ielts gre
facilitate,"vt. 使容易, 促进, 帮助\n[法] 使容易, 使便利, 推进",cet6 ky toefl ielts gre
facility,"n. 容易, 灵巧, 设备\n[计] 设施; 设备; 装备",cet4 cet6 ky toefl ielts
factor,"n. 因素, 因数, 系数, 基因, 代理人\n[计] 因式",cet4 ky toefl ielts
factual,"a. 事实的, 实际的\n[法] 事实的, 与事实有关的, 实际的",toefl gre
faculty,"n. 才能, 能力, 全体教员, (大学的)系\n[医] 能力, [大学]院系",cet4 cet6 ky toefl ielts gre
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵\nvt. 忘记, 使...失望, 缺乏, 不及格\nn. 不及格",zk gk
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天\nvi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低\na. 秋天的",zk gk ielts
familiarity,"n. 熟悉, 精通, 亲密",gre
familiarize,"vt. 使熟悉, 使熟知, 使通俗化",toefl
far,"a. 远的, 久远的, 遥远的\nadv. 甚远地, 很, 到很深的程度, 到很远的距离",zk gk
fare,"n. 费用, 旅客, 食物\nvi. 进展, 进步, 经营, 过活",gk cet4 cet6 ky ielts
farewell,"n. 辞别, 再见, 再会\ninterj. 再会",cet4 cet6 ky ielts gre
fast,"a. 快速的, 紧的\nadv. 很快地, 紧紧地, 彻底地\nn. 绝食, 斋戒\nvi. 绝食, 斋戒",zk gk gre
fasten,"vt. 拴紧, 使固定, 系, 集中于, 强加于\nvi. 扣紧",gk cet4 cet6 ky toefl gre
fatigue,"n. 疲乏, 疲劳\nvt. 使疲劳, 使心智衰弱\nvi. 疲劳\na. 疲劳的",cet4 cet6 ky toefl ielts gre
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的\n[经] 缺点多的",cet4 cet6 ky
favorable,"a. 有利的, 赞许的, 良好的",cet4 ky toefl gre
favorite,"n. 喜欢的事物, 幸运儿\na. 特别受喜爱的, 喜爱的, 宠爱的, 中意的",cet4 ky ielts
fax,n. 传真\nvt. 发传真\n[计] 传真系统; 传真,gk cet4 ky
fear,"n. 恐怖, 害怕, 担心\nv. 害怕, 恐惧, 为...担心, 敬畏",zk gk cet4 cet6 ky
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写\nvt. 是...的特色, 特写, 放映\nvi. 起重要作用\n[计] 特性",cet4 cet6 ky ielts gre
feedback,"n. 反馈, 反应\n[计] 反馈",cet4 cet6 ky ielts gre
female,"n. 女性, 女人, 雌性动物\na. 女性的, 女子的",gk cet4 cet6 ky ielts
ferry,"n. 渡船, 渡口\n[法] 摆渡营业权, 轮渡",gk cet6 ky toefl ielts gre
field,"n. 领域, 田地, 场地, 战场, 场, 域\nvt. 使...晒在场上, 使上场\na. 田间的, 野生的, 野外的, 田赛的\n[计] 域, 字段",zk gk ielts
fight,"n. 打架, 争吵, 斗志\nv. 对抗, 打架",zk gk cet4 cet6 ky
figure,"n. 数字, 价格, 图形, 形状\nvt. 描绘, 表示, 演算, 认为\nvi. 计算, 出现, 估计",gk cet4 cet6 ky toefl ielts
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀\nvi. 列队行进, 用锉刀做\nvt. 归档, 申请, 锉, 琢磨\n[计] 文件",gk cet4 ky toefl ielts gre
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应\nvi. 充满, 变得沉重\nn. 满足, 装满, 充分, 填方\nvt. 填充\nvi. 填充\n[计] 填充",zk gk
film,"n. 软片, 薄膜, 胶卷, 电影\nvt. 覆以薄膜, 拍摄\nvi. 生薄膜, 拍电影",zk gk ielts
final,"n. 期末考试, 结局, 决赛\na. 最后的, 终极的, 决定性的",zk gk cet4 ky toefl ielts
finalize,"vt. 使结束, 定稿\nvi. 定局",
finally,"adv. 最后, 终于",cet4 ky
financial,"a. 财政的, 金融的\n[经] 财政的, 金融的, 财务的",cet4 cet6 ky toefl ielts
fine,"n. 罚款, 罚金, 晴天, 精细\na. 好的, 晴朗的, 健康的, 细小的, 精细的\nvt. 罚款, 精炼, 澄清\nvi. 变清, 变细\nadv. 很好\n[计] 精细",zk gk toefl ielts
finish,"n. 完成, 结束, 末道漆, 磨光, 完美\nvt. 完成, 结束, 用完, 毁掉\nvi. 结束\n[计] 完成",zk gk toefl
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情\nvt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇\nvi. 着火, 烧火, 开枪, 射击, 激动",zk gk ielts
firefighter,n. <美>消防队员,gk
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现",gk cet6
firm,"n. 公司, 商号\na. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的\nvt. 使牢固, 使坚定\nvi. 变稳固, 变坚实\nadv. 稳固地",gk cet4 cet6 ky toefl ielts
fiscal,"a. 财政的, 国库的\n[经] 财政上的, 会计的, 国库的",gre
fish,"n. 鱼, 鱼肉, 鱼类, 接合板\nvt. 钓, 钓鱼, 查出, 用接合板连接\nvi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找",zk gk ielts
fit,"n. 适宜, 合身, 发作, 痉挛\na. 适宜的, 对的, 准备好的\nvt. 适合, 安装, 使合身, 使适应, 使合格\nvi. 适合, 符合, 合身\n[计] 非特",zk gk toefl ielts
fitness,"n. 适合, 合宜, 合理, 恰当, 健康\n[医] 适合性, 适应性",cet6 toefl ielts
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理\nvi. 固定, 注视, 确定\nn. 困境, 方位, 维修, 贿赂",zk gk cet4 cet6 ky
fixture,"n. 固定(状态), 固定物, 设备\n[计] 夹具",cet6 ky toefl ielts
flavor,"n. 滋味, 调味品\nvt. 加味于",ky toefl
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风\n[化] 划痕; 裂缝; 裂纹",cet6 ky toefl ielts gre
fleet,"n. 舰队, 港湾, 小河\na. 快速的, 敏捷的, 浅的, 短暂的\nadv. 浅\nvi. 疾驰, 飞逝, 掠过\nvt. 消磨, 变换船(或船员)的位置",cet4 cet6 ky ielts gre
flexibility,"n. 弹性, 适应性\n[计] 灵活性; 适应性",toefl
flextime,n. 弹性上班制,
floor,"n. 地板, 楼层, 底部, 底价\nvt. 铺地板, 打倒\nn. 地面, 地板, 基底\n[计] 基底",zk gk
flour,"n. 面粉, 粉沫, 碎粉\n[医] 面粉, 麦粉",gk cet4 cet6 ky toefl ielts
flu,"n. 流感, 流行性感冒",zk gk cet4 cet6 ky ielts
fluctuate,"vi. 变动, 起伏, 动摇\nvt. 使波动, 使动摇",cet6 ky toefl ielts gre
fluent,"a. 流利的, 流畅的",gk cet4 cet6 ky toefl ielts
fly,"n. 苍蝇, 两翼昆虫, 飞行\nvi. 飞, 飞翔, 飘扬, 逃走\nvt. 飞, 飞越, 使飘扬, 逃出\na. 敏捷的",zk gk ielts
flyer,"n. 飞鸟, 飞行物, 飞行员, 快车, 传单, 飞跳\n[经] 投机买卖, 孤注一掷, (广告)传单",
focus,"n. 焦点, 焦距\nvi. 聚焦, 注视\nvt. 使聚焦, 调焦, 集中\n[计] 焦点",gk cet4 cet6 ky toefl ielts
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓\nvi. 被雾笼罩, 变模糊\nvt. 使困惑, 以雾笼罩",gk cet4 cet6 ky toefl
folder,"n. 文件夹, 折纸机, 折叠式书本, 卷宗\n[计] 文件夹",ielts gre
food,"n. 食物, 养料\n[医] 食物, 食品",zk gk ielts
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵\nvt. 走在...上, 给...换底, 支付\nvi. 跳舞, 步行, 总计",zk gk ielts
footwear,"n. 鞋类, 靴类",
forbid,"vt. 禁止, 不准, 妨碍\n[法] 不许, 禁止, 阻止",gk cet4 cet6 ky toefl gre
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力\nvt. 强迫, 强夺, 推动, 提高\n[计] 人工转移; 强制",zk gk cet4 cet6 ky
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的\n[机] 外来的",zk gk ielts
foreman,"n. 领班, 工头, 陪审长\n[经] 领班, 工头",
forget,"vt. 忘记, 忽略, 忘\nvi. 忘记",zk gk
fork,"n. 叉子, 叉状物, 分岔\nvi. 分支, 分歧\nvt. 做成叉形, 叉起\n[计] 派生指令",zk gk cet4 cet6 ky
form,"n. 形状, 形体, 类型, 方式, 表格, 形式\nv. 形成, 排列, (使)组成\nn. 表单\n[计] 表单",zk gk ielts
formally,"adv. 正式地, 形式上",
former,"a. 从前的, 前者的\nn. 起形成作用的人(或物), 模型, 样板",gk cet4 ky toefl ielts
fortunately,"adv. 幸运地, 幸亏",cet4 cet6
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会\n[法] 讨论会, 专题讨论, 公共论坛",cet6 ky ielts gre
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的\nvt. 促进...的生长, 转寄, 运送\nadv. 向前地\n[计] 前推, 转信",zk gk gre
foster,"a. 收养的, 养育的\nvt. 养育, 抚育, 培养, 鼓励, 抱(希望)",cet6 ky toefl ielts gre
founder,"n. 创立者, 建立者\nvt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏\nvi. 沉没, 摔到, 变跛, 倒塌, 失败",toefl gre
fountain,"n. 水源, 源, 喷泉, 泉水, 本源\n[医] 泉",gk cet4 cet6 ky toefl ielts
franchise,"n. 公民权, 特权, 特许经营权, 免赔额\nvt. 给以特权, 给以...公民权",
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的\nvt. 释放, 解放, 使自由\nadv. 自由地, 免费",zk gk
freelance,"n. 自由作家, 自由投稿, 自由职业者\na. 自由投稿的",
freight,"n. 船货, 运费, 货运\nvt. 装货, 使充满, 以货运运送, 租(或出租)(船等)",cet4 cet6 ky toefl ielts gre
freighter,"n. 租船人, 承运人, 托运人, 货船, 运输机\n[经] 装货人, 货主, 承运人",toefl
front,"n. 前面, 开头, 前线, 阵线, 态度\nvt. 面对, 朝向, 对抗\nvi. 朝向",zk gk
frustrate,"vt. 挫败, 击败, 破坏\na. 无益的, 挫败的, 挫折的",cet4 cet6 ky toefl ielts gre
fry,"n. 油炸食物, 鱼苗\nv. 油炸, 煎",gk cet4 cet6 ky ielts
full,"n. 全部, 完整\na. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的\nadv. 完全地, 整整, 十分\nvt. 把(衣服等)缝得宽松, 漂洗\n[计] 完整",zk gk
fun,"n. 乐趣, 玩笑, 娱乐\nvi. 开玩笑\na. 供娱乐用的",zk gk
function,"n. 官能, 职务, 功能, 函数\nvi. 活动, 运行, 行使职责\n[计] 功能, 函数",gk cet4 cet6 ky ielts
fund,"n. 基金, 资金, 存款, 财源, 贮藏\nvt. 提供资金, 积累",cet4 cet6 ky toefl
furnish,"vt. 供给, 提供, 装设\n[化] 供应; 供给; 配料",cet4 cet6 ky toefl ielts
further,"a. 更远的, 此外的, 更多的\nvt. 促进, 增进, 助长\nadv. 更进一步地, 更远地, 此外",cet4 cet6 ky toefl ielts
future,"n. 未来, 将来\na. 将来的, 未来的",zk gk ielts
gain,"n. 增益, 获得, 利润, 收获, 增加\nvt. 得到, 增进, 赚到\nvi. 获利, 增加\n[计] 增益",gk cet4 cet6 ky
gallon,n. 加仑\n[医] 加仑,gk cet4 cet6 ky toefl gre
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味\nvi. 赌博\na. 勇敢的, 有胆量的, 关于野味的, 跛的\n[计] 博弈; 对策",zk gk
garage,"n. 车库, 汽车修理厂, 机库\nvt. 把车送入修车场",gk cet4 cet6 ky ielts
garbage,"n. 垃圾, 废物\n[计] 无用信息",gk cet4 cet6 ky toefl ielts
garden,"n. 花园, 果园, 菜园\nvi. 栽培花木\nvt. 造园\na. 花园的, 普通的",zk gk ielts
gardener,"n. 园丁, 花匠, 园艺家",cet4 cet6
garment,"n. 衣服, 衣装, 外表",gk cet6 ky toefl ielts gre
gasoline,n. 汽油\n[化] 汽油,cet4 cet6 ky toefl
general,"n. 一般, 将军, 大体\na. 全面的, 大体的, 总的, 一般的, 普遍的\nn. 常规\n[计] 常规",zk gk cet4 cet6 ky toefl ielts
generalization,"n. 一般化, 普遍化, 概括\n[化] 推广; 普适化",cet6 toefl
generally,"adv. 通常, 逐渐地, 普遍地",cet4 cet6 toefl
generation,"n. 一代, 一世, 产生\n[医] 生殖, 世代",gk cet4 cet6 ky gre
generator,"n. 产生器, 发电机, 生产者\n[计] 发生器",cet4 cet6 ky gre
generic,"a. 属类的, 一般的\n[计] 一般的",ielts gre
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的",gk cet4 cet6 ky toefl ielts
genre,"n. 类型, 流派",toefl gre
getaway,"n. 逃走, 起步",
glove,n. 手套\nvt. 给...戴手套,zk gk cet4 cet6 ky
goal,"n. 目标, 终点, 得分, 球门, 守门员\nvi. 攻门, 射门得分",gk cet4 cet6 ky toefl ielts
goods,"n. 货物\n[经] 货物, 商品, 动产",gk cet4 cet6 ky ielts
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人\nvi. 说闲话, 闲聊",cet6 ky toefl ielts
government,"n. 政府, 内阁\n[经] 政府, 政治, 政体",zk gk cet4 cet6 ky ielts
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级\n[医] 刻度, 分度, 毕业",gk
gram,"n. 克, 绿豆, 鹰嘴豆\n[医] 克",gk
